theme,date,debate_title,page_url
migration,5/22/2024,Immigration and Asylum,https://hansard.parliament.uk/commons/2024-05-22/debates/F0B90D81-16D5-4A1C-A075-38C5447A9879/ImmigrationAndAsylum
migration,7/22/2024,Border Security and Asylum,https://hansard.parliament.uk/commons/2024-07-22/debates/FBB2B906-592F-4047-A6E1-59D6DB97573A/BorderSecurityAndAsylum
migration,2/10/2025,"Border Security, Asylum and Immigration Bill",https://hansard.parliament.uk/Commons/2025-02-10/debates/EC0D77F7-9C12-49E0-ACE8-923FCBA4BF30/BorderSecurityAsylumAndImmigrationBill
migration,5/12/2025,Immigration System,https://hansard.parliament.uk/commons/2025-05-12/debates/28890B56-B3B5-4F1D-A5D2-19BA7B139E55/ImmigrationSystem
economy,10/30/2024,Financial Statement and Budget Report,https://hansard.parliament.uk/commons/2024-10-30/debates/11809FC2-3FF8-4B3A-9C78-4A56268F0D5E/FinancialStatementAndBudgetReport
economy,5/21/2025,Business and the Economy,https://hansard.parliament.uk/Commons/2025-05-21/debates/886E1467-88FC-4FBD-B3E6-F8A4B4675972/BusinessAndTheEconomy
economy,6/11/2025,Spending Review 2025,https://hansard.parliament.uk/commons/2025-06-11/debates/AA2E816F-02F9-4C3A-920A-BAFEDF4B422E/SpendingReview2025
healthcare,9/12/2024,NHS: Independent Investigation,https://hansard.parliament.uk/commons/2024-09-12/debates/50B70320-772B-418A-8449-6DC77715D4CD/NHSIndependentInvestigation
healthcare,10/21/2024,Ten-year Health Plan,https://hansard.parliament.uk/Commons/2024-10-21/debates/24102111000008/Ten-YearHealthPlan
healthcare,6/12/2025,Spending Review: Health and Social Care,https://hansard.parliament.uk/commons/2025-06-12/debates/C314838E-C07E-4A3A-8109-4042E27B843B/SpendingReviewHealthAndSocialCare
healthcare,7/3/2025,NHS 10-Year Plan,https://hansard.parliament.uk/Commons/2025-07-03/debates/DC09ACAA-D05F-4BE8-9517-16A2D53DA49E/NHS10-YearPlan
healthcare,6/24/2025,Department of Health and Social Care,https://hansard.parliament.uk/commons/2025-06-24/debates/9E7D3DA2-EA89-4A23-AD4C-4002B28173E7/DepartmentOfHealthAndSocialCare
