word_id_in_chunk,word,pred_label,pred_id,is_metaphor,metaphor_score,context,corpus,chunk_id,global_word_id,is_punct,lemma,pos
4,burns,LABEL_0,0,1,0.9996671676635742,"My belief in Britain burns brighter than ever , and",economy,0,4,False,burn,NOUN
5,brighter,LABEL_0,0,1,0.9983455538749696,"My belief in Britain burns brighter than ever , and the",economy,0,5,False,brighter,ADV
11,prize,LABEL_0,0,1,0.996308207511902,"than ever , and the prize on offer is immense .",economy,0,11,False,prize,NOUN
30,change,LABEL_0,0,1,0.9976741671562196,"Minister said on Monday , change must be felt : more",economy,0,30,False,change,VERB
33,felt,LABEL_0,0,1,0.9988105297088624,"Monday , change must be felt : more pounds in people",economy,0,33,False,feel,VERB
58,growing,LABEL_0,0,1,0.9965900778770448,"and an economy that is growing , creating wealth and opportunity",economy,0,58,False,grow,VERB
82,drive,LABEL_0,0,1,0.999662220478058,. The only way to drive economic growth is to invest,economy,0,82,False,drive,VERB
96,shortcuts,LABEL_0,0,1,0.9930362701416016,"invest . There are no shortcuts , and , to deliver",economy,0,96,False,shortcut,VERB
107,restore,LABEL_0,0,1,0.9951011538505554,"that investment , we must restore economic stability and turn the",economy,0,107,False,restore,VERB
113,page,LABEL_0,0,1,0.9996675252914428,economic stability and turn the page on the last 14 years,economy,0,113,False,page,NOUN
9,fallen,LABEL_0,0,1,0.9975647926330566,first time that it has fallen to the Labour party to,economy,1,129,False,fall,VERB
33,rubble,LABEL_0,0,1,0.9944528937339784,our country out of the rubble of the second world war,economy,1,153,False,rubble,NOUN
53,white,LABEL_0,0,1,0.9996115565299988,"that rebuilt Britain with the white heat of technology , and",economy,1,173,False,white,ADJ
54,heat,LABEL_0,0,1,0.9988527297973632,"rebuilt Britain with the white heat of technology , and ,",economy,1,174,False,heat,NOUN
79,falls,LABEL_0,0,1,0.991295337677002,"hospitals . Today , it falls to this Labour party —",economy,1,199,False,fall,VERB
110,delivered,LABEL_0,0,1,0.9979146718978882,"than 14 years to be delivered by a Labour Chancellor ,",economy,1,230,False,deliver,VERB
129,delivered,LABEL_0,0,1,0.9983294010162354,’ s history to be delivered by a woman . I,economy,1,249,False,deliver,VERB
165,ceiling,LABEL_0,0,1,0.9994819164276124,": let there be no ceiling on your ambition , your",economy,1,285,False,ceiling,NOUN
182,feel,LABEL_0,0,1,0.9946421980857848,"with the pride that I feel standing here today , there",economy,1,302,False,feel,VERB
193,pass,LABEL_0,0,1,0.9926131963729858,is also a responsibility to pass on a fairer society and,economy,1,313,False,pass,VERB
200,stronger,LABEL_0,0,1,0.9996089339256288,a fairer society and a stronger economy to the next generation,economy,1,320,False,strong,ADJ
12,exposed,LABEL_0,0,1,0.999019980430603,". In July , I exposed a £ 22 billion black",economy,2,341,False,expose,VERB
17,black,LABEL_0,0,1,0.9948091506958008,exposed a £ 22 billion black hole at the heart of,economy,2,346,False,black,ADJ
18,hole,LABEL_0,0,1,0.9991008043289183,a £ 22 billion black hole at the heart of the,economy,2,347,False,hole,NOUN
21,heart,LABEL_0,0,1,0.9997119903564452,billion black hole at the heart of the previous Government ’,economy,2,350,False,heart,NOUN
105,line,LABEL_0,0,1,0.9909939169883728,the Government are publishing a line - by - line breakdown,economy,2,434,False,line,NOUN
116,black,LABEL_0,0,1,0.9923059344291688,"of the £ 22 billion black hole that we inherited ,",economy,2,445,False,black,ADJ
117,hole,LABEL_0,0,1,0.9993732571601868,"the £ 22 billion black hole that we inherited , which",economy,2,446,False,hole,NOUN
127,pressures,LABEL_0,0,1,0.9976816773414612,which shows hundreds of unfunded pressures on the public finances this,economy,2,456,False,pressure,NOUN
54,cuts,LABEL_0,0,1,0.998471975326538,10 billion - worth of cuts to national insurance . It,economy,8,598,False,cut,NOUN
62,height,LABEL_0,0,1,0.9989746809005736,"insurance . It was the height of irresponsibility , and they",economy,8,606,False,height,NOUN
73,run,LABEL_0,0,1,0.9978212714195251,"knew it . They had run out of road , and",economy,8,617,False,run,VERB
76,road,LABEL_0,0,1,0.9985441565513612,"They had run out of road , and they called an",economy,8,620,False,road,NOUN
84,avoid,LABEL_0,0,1,0.996019721031189,they called an election to avoid making difficult choices . So,economy,8,628,False,avoid,VERB
111,loose,LABEL_0,0,1,0.9993056058883668,Government to play fast and loose with the public finances and,economy,8,655,False,loose,ADJ
125,hide,LABEL_0,0,1,0.9932048916816713,we allow a Government to hide the true state of our,economy,8,669,False,hide,VERB
3,inherited,LABEL_0,0,1,0.9977232813835144,The country has inherited not just broken public finances,economy,9,712,False,inherit,VERB
6,broken,LABEL_0,0,1,0.9993401765823364,"country has inherited not just broken public finances , but broken",economy,9,715,False,break,VERB
11,broken,LABEL_0,0,1,0.9991121888160706,"broken public finances , but broken public services . The British",economy,9,720,False,break,VERB
21,feel,LABEL_0,0,1,0.999747633934021,British people can see and feel that in their everyday lives,economy,9,730,False,feel,VERB
77,inheritance,LABEL_0,0,1,0.9961649775505066,is the country ’ s inheritance from the Conservative Government .,economy,9,786,False,inheritance,NOUN
105,footing,LABEL_0,0,1,0.9990755915641784,public finances on a sustainable footing — quite the opposite .,economy,9,814,False,foot,VERB
97,pain,LABEL_0,0,1,0.9997367262840272,is long overdue for the pain and injustice that they have,economy,11,957,False,pain,NOUN
2,campaign,LABEL_0,0,1,0.9991998076438904,The leadership campaign for the Conservative party has,economy,12,967,False,campaign,NOUN
63,scale,LABEL_0,0,1,0.9992819428443908,country once again . The scale and seriousness of the situation,economy,12,1028,False,scale,NOUN
68,situation,LABEL_0,0,1,0.993337869644165,scale and seriousness of the situation that we have inherited cannot,economy,12,1033,False,situation,NOUN
72,inherited,LABEL_0,0,1,0.9938952922821044,the situation that we have inherited cannot be underestimated . Together,economy,12,1037,False,inherit,VERB
80,hole,LABEL_0,0,1,0.99981951713562,"underestimated . Together , the hole in our public finances this",economy,12,1045,False,hole,NOUN
108,assess,LABEL_0,0,1,0.9986022114753724,", and their failure to assess the scale of the challenges",economy,12,1073,False,assess,VERB
110,scale,LABEL_0,0,1,0.9994907379150392,their failure to assess the scale of the challenges facing our,economy,12,1075,False,scale,NOUN
113,challenges,LABEL_0,0,1,0.994480311870575,"assess the scale of the challenges facing our public services ,",economy,12,1078,False,challenge,NOUN
123,raises,LABEL_0,0,1,0.9992194175720216,", means that this Budget raises taxes by £ 40 billion",economy,12,1088,False,raise,VERB
138,face,LABEL_0,0,1,0.9993214011192322,"here today would have to face this reality , and any",economy,12,1103,False,face,VERB
18,stretched,LABEL_0,0,1,0.999483585357666,crisis under the last Government stretched household finances to their limit,economy,14,1346,False,stretch,VERB
27,hitting,LABEL_0,0,1,0.9992227554321288,"their limit , with inflation hitting a peak of above 11",economy,14,1355,False,hit,VERB
4,deliver,LABEL_0,0,1,0.9966822266578674,Every Budget that I deliver will be focused on our,economy,15,1419,False,deliver,VERB
24,pillars,LABEL_0,0,1,0.9977293610572816,"mission are the seven key pillars of our growth strategy ,",economy,15,1439,False,pillar,NOUN
159,pay,LABEL_0,0,1,0.9957683086395264,our plans to make work pay and tackling economic inactivity .,economy,15,1574,False,pay,VERB
161,tackling,LABEL_0,0,1,0.998344659805298,to make work pay and tackling economic inactivity .,economy,15,1576,False,tackle,VERB
12,guide,LABEL_0,0,1,0.9996971487998962,the fiscal rules that would guide this Government . I am,economy,17,1750,False,guide,VERB
105,tougher,LABEL_0,0,1,0.9951086044311525,. That will provide a tougher constraint on day - to,economy,17,1843,False,tougher,ADV
