word,lemma,pos,metaphor_score,context
grips,grip,NOUN,0.999382257461548,"their representatives to get to grips with immigration , both illegal"
helps,help,VERB,0.9937679767608644,"the NHS . My Bill helps to reinforce parliamentary sovereignty ,"
reinforce,reinforce,VERB,0.99715256690979,". My Bill helps to reinforce parliamentary sovereignty , encourages transparency"
focuses,focus,VERB,0.9985436797142028,transparency in decision making and focuses responsibility on Members of Parliament
restore,restore,VERB,0.9941149950027466,in doing so helps to restore faith in Government and in
solidly,solidly,ADV,0.9971544742584229,other half of me is solidly English .
hiding,hiding,NOUN,0.993196666240692,. There will be no hiding behind quangos or behind agencies
present,present,ADJ,0.9961887001991272,would require the Government to present a figure or range of
deliver,deliver,VERB,0.999459981918335,see what each figure would deliver in terms of costs and
far,far,ADV,0.9954246282577516,the debate has happened thus far without reference to many of
end,end,NOUN,0.9994454383850098,"Either way , at the end of the day , MPs"
line,line,NOUN,0.990278422832489,"for specific numbers , in line with our international obligations ."
plucking,pluck,VERB,0.9987807869911194,not stipulating a figure or plucking one out of thin air
thin,thin,ADJ,0.9982484579086304,or plucking one out of thin air . This is the
air,air,NOUN,0.9990279078483582,plucking one out of thin air . This is the principle
force,force,NOUN,0.998797595500946,", who are here in force , could suggest 2 million"
power,power,NOUN,0.9993572235107422,this Bill is about giving power back to Parliament .
touches,touch,NOUN,0.999713122844696,"For me , this debate touches on wider issues about parliamentarians"
wider,wide,ADJ,0.9986687302589417,", this debate touches on wider issues about parliamentarians passing their"
passing,pass,VERB,0.9982049465179444,on wider issues about parliamentarians passing their powers and responsibilities to
cover,cover,VERB,0.9980856776237488,"and politicians effectively having to cover for them , whether it"
power,power,NOUN,0.9979430437088012,"The answer is not less power to Parliament , or more"
greater,great,ADJ,0.9913787841796876,", it would also allow greater thought on what our nation"
demolished,demolish,VERB,0.9982516169548036,"for Policy Studies report , demolished many of the lazy arguments"
lazy,lazy,ADJ,0.9985549449920654,", demolished many of the lazy arguments about migration , such"
automatically,automatically,ADV,0.9902048707008362,such as that it is automatically associated with economic growth —
growth,growth,NOUN,0.9931194186210632,"is automatically associated with economic growth — arguably , the era"
healthy,healthy,ADJ,0.9972834587097168,"our build rate is pretty healthy at the moment , but"
dwarfed,dwarf,VERB,0.9970427751541138,"moment , but it is dwarfed because of the high net"
force,force,NOUN,0.9990992546081544,My Bill would force us to think whether we
higher,higher,ADV,0.9988746047019958,could do with encouragement or higher wages . One of the
price,price,NOUN,0.9974581003189088,scale immigration comes at the price of suppressing wages of some
route,route,NOUN,0.9991698265075684,"health and social care visa route . In fact , 146"
impact,impact,NOUN,0.9995251893997192,need to think about the impact of the decisions we are
touch,touch,NOUN,0.999720573425293,I would like to touch briefly on asylum as well
enhances,enhance,VERB,0.9971523880958556,"My Bill enhances democracy , accountability and transparency"
handing,handing,NOUN,0.9921261072158812,"parliamentary scrutiny , opposing the handing back of powers to Members"
greater,great,ADJ,0.995347499847412,less ; and we need greater scrutiny and a bigger role
bigger,big,ADJ,0.9996860027313232,need greater scrutiny and a bigger role for Parliament to allow
role,role,NOUN,0.9936609864234924,greater scrutiny and a bigger role for Parliament to allow MPs
robust,robust,ADJ,0.9960232377052308,people want a fair but robust immigration system . They are
deliver,deliver,VERB,0.999630331993103,. My new law would deliver that and ensure that we
damage,damage,NOUN,0.9981369972229004,act of absolutely bizarre economic damage to try to restrict their
impact,impact,NOUN,0.995198369026184,"that will have a significant impact on our economy , because"
seeking,seek,VERB,0.9950672388076782,"’ s Bill , in seeking to put a cap on"
cap,cap,NOUN,0.9975597858428956,in seeking to put a cap on the number of people
Cutting,cut,VERB,0.9911601543426514,really be entitled the “ Cutting off our nose to spite
face,face,VERB,0.9932915568351746,our nose to spite our face ” Bill . A cap
cap,cap,NOUN,0.9966312646865844,face ” Bill . A cap on numbers is entirely illogical
cap,cap,NOUN,0.9986984133720398,". If he said the cap was 1 , 000 people"
